#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.706025E-03   0.118388E+07   0.118383E+07   0.139974E+07   0.139576E+07   0.116589E+07   0.118366E+07   0.118387E+07   0.118874E+07  -0.598938E+00   0.118165E+07   0.118165E+07   0.649355E+01
   0.780278E-03   0.118323E+07   0.118317E+07   0.136199E+07   0.135730E+07   0.115641E+07   0.118291E+07   0.118322E+07   0.118785E+07  -0.598465E+00   0.118096E+07   0.118096E+07   0.716358E+01
   0.862341E-03   0.118244E+07   0.118236E+07   0.131716E+07   0.131166E+07   0.114499E+07   0.118199E+07   0.118243E+07   0.118677E+07  -0.597892E+00   0.118012E+07   0.118012E+07   0.789973E+01
   0.953034E-03   0.118148E+07   0.118139E+07   0.126425E+07   0.125787E+07   0.113127E+07   0.118088E+07   0.118146E+07   0.118547E+07  -0.597200E+00   0.117911E+07   0.117910E+07   0.870758E+01
   0.105327E-02   0.118031E+07   0.118020E+07   0.120229E+07   0.119498E+07   0.111486E+07   0.117954E+07   0.118030E+07   0.118390E+07  -0.596366E+00   0.117787E+07   0.117786E+07   0.959283E+01
   0.116404E-02   0.117891E+07   0.117877E+07   0.113043E+07   0.112219E+07   0.109531E+07   0.117792E+07   0.117889E+07   0.118202E+07  -0.595365E+00   0.117638E+07   0.117636E+07   0.105613E+02
   0.128646E-02   0.117721E+07   0.117704E+07   0.104809E+07   0.103898E+07   0.107215E+07   0.117596E+07   0.117718E+07   0.117977E+07  -0.594166E+00   0.117457E+07   0.117455E+07   0.116186E+02
   0.142176E-02   0.117516E+07   0.117496E+07   0.955140E+06   0.945319E+06   0.104490E+07   0.117362E+07   0.117513E+07   0.117708E+07  -0.592736E+00   0.117240E+07   0.117237E+07   0.127705E+02
   0.157129E-02   0.117269E+07   0.117245E+07   0.852155E+06   0.841918E+06   0.101310E+07   0.117081E+07   0.117266E+07   0.117390E+07  -0.591039E+00   0.116978E+07   0.116975E+07   0.140222E+02
   0.173654E-02   0.116975E+07   0.116945E+07   0.740712E+06   0.730513E+06   0.976380E+06   0.116746E+07   0.116970E+07   0.117015E+07  -0.589037E+00   0.116665E+07   0.116662E+07   0.153784E+02
   0.191918E-02   0.116623E+07   0.116587E+07   0.623674E+06   0.614136E+06   0.934950E+06   0.116350E+07   0.116618E+07   0.116576E+07  -0.586693E+00   0.116292E+07   0.116289E+07   0.168436E+02
   0.212102E-02   0.116206E+07   0.116161E+07   0.505396E+06   0.497284E+06   0.888047E+06   0.115881E+07   0.116199E+07   0.116065E+07  -0.583963E+00   0.115849E+07   0.115844E+07   0.184214E+02
   0.234409E-02   0.115713E+07   0.115659E+07   0.391709E+06   0.385834E+06   0.836263E+06   0.115333E+07   0.115705E+07   0.115475E+07  -0.580813E+00   0.115325E+07   0.115320E+07   0.201152E+02
   0.259062E-02   0.115134E+07   0.115068E+07   0.289484E+06   0.286520E+06   0.780436E+06   0.114694E+07   0.115124E+07   0.114799E+07  -0.577212E+00   0.114711E+07   0.114704E+07   0.219286E+02
   0.286307E-02   0.114460E+07   0.114380E+07   0.205596E+06   0.205813E+06   0.721786E+06   0.113957E+07   0.114447E+07   0.114032E+07  -0.573134E+00   0.113996E+07   0.113988E+07   0.238656E+02
   0.316418E-02   0.113680E+07   0.113582E+07   0.145190E+06   0.148152E+06   0.662037E+06   0.113114E+07   0.113664E+07   0.113167E+07  -0.568558E+00   0.113171E+07   0.113162E+07   0.259318E+02
